id,booking_status_pred,Probability
42100,0,0.07696241
42101,0,0.03072759
42102,0,0.43601185
42103,0,0.15694427
42104,1,0.6555757
42105,1,0.73797363
42106,0,0.38897836
42107,1,0.72060275
42108,0,1.7049051e-07
42109,1,0.609075
42110,1,0.70443743
42111,0,0.23389445
42112,0,0.37898323
42113,0,0.1824116
42114,0,0.2853468
42115,1,0.79505926
42116,0,0.05733835
42117,0,0.31412077
42118,1,0.9608796
42119,1,0.90111226
42120,1,0.9616967
42121,0,0.25095168
42122,0,0.018121853
42123,1,0.8090342
42124,1,0.9128697
42125,0,0.0035647321
42126,0,2.6805936e-30
42127,0,0.015369569
42128,0,0.31555796
42129,1,0.62678427
42130,1,0.8983537
42131,0,0.3015098
42132,0,0.4340743
42133,1,0.9742206
42134,0,0.47573876
42135,0,1.9186428e-13
42136,0,0.06484011
42137,0,0.43780586
42138,1,0.6753946
42139,1,0.88256353
42140,0,0.001832894
42141,0,0.19935843
42142,1,0.65103203
42143,1,0.910433
42144,0,0.06919115
42145,1,0.8156517
42146,0,0.06903394
42147,1,0.76331425
42148,1,0.6776021
42149,1,0.63359046
42150,0,0.31056663
42151,1,0.79582953
42152,1,0.66318506
42153,0,0.21795258
42154,1,0.5384108
42155,0,0.42257783
42156,0,0.29934362
42157,0,0.026465414
42158,0,0.30909273
42159,1,0.812959
42160,1,0.5580599
42161,0,1.9605784e-05
42162,0,0.0811365
42163,0,0.035604283
42164,1,0.94009775
42165,0,0.47539964
42166,1,0.77668035
42167,0,3.0821054e-10
42168,1,0.73803765
42169,1,0.91101366
42170,0,0.03353368
42171,0,0.2076285
42172,0,0.20162818
42173,1,0.87323636
42174,0,0.10080296
42175,0,0.2684769
42176,1,0.93902516
42177,0,0.19105361
42178,0,0.05450795
42179,1,0.9493657
42180,1,0.73245794
42181,1,0.68090844
42182,1,0.81909317
42183,0,0.39607328
42184,0,0.075105995
42185,0,0.12788342
42186,0,0.15653718
42187,0,0.313454
42188,0,0.02875981
42189,0,0.14796852
42190,0,0.16383287
42191,0,0.16007343
42192,0,0.26352423
42193,0,0.17277785
42194,0,0.2767182
42195,1,0.9570307
42196,1,0.79511654
42197,0,0.48010603
42198,1,0.75934756
42199,1,0.59769297
42200,1,0.6208683
42201,1,0.609213
42202,0,0.39178455
42203,0,0.35254446
42204,1,0.8196067
42205,0,0.19606125
42206,0,0.0131993685
42207,1,0.68495125
42208,0,0.06594989
42209,0,0.23513885
42210,0,0.1615634
42211,0,0.22269386
42212,0,0.30858824
42213,1,0.81187046
42214,1,0.68633145
42215,0,0.20648728
42216,1,0.89197904
42217,0,0.14289966
42218,0,0.025960807
42219,0,0.19563238
42220,0,0.2782507
42221,1,0.72110176
42222,1,0.5357772
42223,0,0.15332544
42224,1,0.962992
42225,1,0.67918295
42226,1,0.8320255
42227,0,0.055033494
42228,1,0.7806372
42229,0,0.11592213
42230,0,0.38623357
42231,1,0.7475648
42232,1,0.88286656
42233,0,0.10698109
42234,1,0.9033255
42235,0,0.1319647
42236,0,0.06765775
42237,1,0.81404406
42238,0,0.34230715
42239,0,0.3048863
42240,1,0.92790246
42241,1,0.6028995
42242,0,0.11063317
42243,1,0.9635743
42244,0,0.14587545
42245,1,0.6470501
42246,1,0.9421719
42247,1,0.7470533
42248,1,0.60232943
42249,1,0.8366405
42250,1,0.5162217
42251,0,0.25944644
42252,1,0.7675104
42253,1,0.6994004
42254,0,0.096466966
42255,0,0.11338342
42256,1,0.715539
42257,1,0.6359563
42258,0,0.343389
42259,1,0.70771784
42260,1,0.7053826
42261,1,0.77533805
42262,1,0.94078267
42263,1,0.968792
42264,0,0.14221855
42265,1,0.7903173
42266,0,0.059122168
42267,0,0.17804442
42268,1,0.6601487
42269,0,0.09512476
42270,1,0.85993147
42271,1,0.7031855
42272,0,0.09135635
42273,0,0.110867396
42274,1,0.8547718
42275,0,0.37913844
42276,0,0.14647351
42277,0,0.15392959
42278,0,0.08093542
42279,0,0.3208144
42280,0,0.36293626
42281,0,0.011064461
42282,0,0.3312671
42283,0,0.23891476
42284,0,0.4952137
42285,0,0.051308278
42286,0,0.026631605
42287,1,0.73936814
42288,0,0.3853038
42289,1,0.8199015
42290,0,0.028979423
42291,1,0.8962504
42292,0,0.13738541
42293,1,0.8167533
42294,1,0.9783544
42295,0,0.16455682
42296,0,0.09708847
42297,0,0.25603497
42298,0,0.072453536
42299,1,0.81707174
42300,0,0.31272513
42301,0,0.20753007
42302,0,0.14871816
42303,0,0.2977174
42304,0,0.11546393
42305,0,0.33454606
42306,0,0.25533682
42307,0,0.093520105
42308,0,0.157265
42309,0,0.2380903
42310,0,0.40088367
42311,1,0.73715967
42312,0,0.100597605
42313,1,0.7770608
42314,1,0.66722155
42315,0,0.15730546
42316,1,0.67388606
42317,0,0.26717055
42318,0,0.40705615
42319,0,0.03325069
42320,0,0.27851522
42321,0,0.3641447
42322,1,0.891542
42323,0,0.027973395
42324,1,0.77283967
42325,0,0.09738669
42326,1,0.63328034
42327,0,0.0643407
42328,0,0.10416286
42329,0,0.12849244
42330,1,0.85118735
42331,0,0.38318187
42332,0,0.27833462
42333,1,0.78662336
42334,0,0.026539892
42335,1,0.8003749
42336,0,0.06593217
42337,1,0.74174315
42338,0,0.31421822
42339,0,0.007820912
42340,0,0.14941937
42341,1,0.80847657
42342,1,0.9282009
42343,0,0.39513835
42344,0,0.32358995
42345,0,0.023758776
42346,1,0.99259156
42347,1,0.8010604
42348,1,0.86182016
42349,0,0.13448247
42350,0,0.23396954
42351,0,0.14613323
42352,1,0.7561812
42353,1,0.8577504
42354,0,0.19709173
42355,0,0.18846905
42356,1,0.57779855
42357,0,0.00045668404
42358,1,0.9189259
42359,0,0.08706652
42360,1,0.7658643
42361,0,0.13476467
42362,1,0.755145
42363,0,0.17396618
42364,0,0.3418384
42365,0,0.34942248
42366,0,0.22439869
42367,1,0.8093935
42368,0,0.44749036
42369,1,0.8737242
42370,0,0.40288207
42371,0,0.06830535
42372,0,0.2949557
42373,1,0.9616737
42374,1,0.74186087
42375,0,0.44112197
42376,0,0.13486248
42377,1,0.95182157
42378,1,0.63596416
42379,0,0.30205253
42380,0,0.03190923
42381,1,0.6298021
42382,1,0.56573236
42383,1,0.9446908
42384,0,0.19629204
42385,0,0.012675006
42386,1,0.8336032
42387,1,0.6602762
42388,0,0.04611373
42389,0,0.017394425
42390,1,0.9016095
42391,0,0.13763994
42392,0,0.086174496
42393,0,0.17042732
42394,0,0.24422798
42395,1,0.5627338
42396,0,0.18478952
42397,1,0.9702713
42398,0,0.04298758
42399,1,0.7588034
42400,0,0.4097643
42401,0,0.18897077
42402,1,0.8162986
42403,1,0.64051664
42404,0,0.32507348
42405,0,0.23591843
42406,0,0.3911299
42407,0,0.10208346
42408,0,0.12827925
42409,0,0.36725104
42410,1,0.8143963
42411,0,1.6926952e-10
42412,1,0.9505741
42413,1,0.6425406
42414,1,0.7840791
42415,0,0.26634467
42416,1,0.85384494
42417,0,0.18367544
42418,0,0.40626913
42419,0,0.33448997
42420,0,0.12284128
42421,0,0.12918621
42422,0,0.469254
42423,1,0.5424305
42424,1,0.8381623
42425,0,0.3709861
42426,0,0.354539
42427,0,0.066857785
42428,0,0.19454302
42429,1,0.9830856
42430,1,0.53645384
42431,1,0.7523429
42432,1,0.9433277
42433,0,0.15820822
42434,0,0.0001276183
42435,0,0.07730701
42436,0,0.34000248
42437,0,0.2681034
42438,0,0.21317542
42439,1,0.9700535
42440,0,0.21001609
42441,1,0.9566802
42442,0,0.116487674
42443,0,0.17199218
42444,0,0.08785893
42445,0,0.07353789
42446,1,0.73364824
42447,0,0.17323232
42448,0,0.051243447
42449,0,0.25714114
42450,0,0.4029818
42451,0,0.18944627
42452,0,0.016210306
42453,0,0.19275263
42454,0,0.18678479
42455,0,0.2531289
42456,0,0.32500842
42457,0,0.03367919
42458,0,0.22517522
42459,0,0.45647562
42460,1,0.81225324
42461,0,0.11200566
42462,1,0.64972025
42463,0,0.19105498
42464,1,0.85023654
42465,0,0.15281816
42466,1,0.7948954
42467,0,0.36790586
42468,0,0.31181812
42469,0,0.12567939
42470,0,0.16994122
42471,1,0.5825539
42472,0,0.38016382
42473,0,0.10780907
42474,0,0.3100723
42475,0,0.078885324
42476,0,0.00024636506
42477,0,0.26017436
42478,1,0.8940092
42479,1,0.7968486
42480,0,0.0089889625
42481,0,0.17427866
42482,0,0.06553455
42483,0,0.39721426
42484,0,0.23936264
42485,0,0.008200664
42486,1,0.8196797
42487,0,0.36003053
42488,0,0.00068103964
42489,0,0.14279164
42490,0,0.09228574
42491,1,0.73547673
42492,0,0.3442858
42493,0,0.18855542
42494,0,0.21774097
42495,0,0.4132454
42496,0,0.25709015
42497,0,0.018363385
42498,0,0.07971757
42499,0,0.097109854
42500,0,0.122358754
42501,0,0.33797503
42502,0,0.49718305
42503,1,0.86411124
42504,0,0.08450657
42505,0,3.916483e-08
42506,0,0.43036827
42507,0,0.009976527
42508,0,0.1652836
42509,0,0.15113388
42510,1,0.6130987
42511,0,0.4554476
42512,0,0.18399696
42513,0,0.0062344344
42514,0,0.038942132
42515,0,0.47202134
42516,0,0.4687792
42517,1,0.73071676
42518,1,0.88272226
42519,0,0.3881348
42520,1,0.54457134
42521,0,0.018400073
42522,0,0.2437201
42523,0,0.2832098
42524,0,0.4082318
42525,1,0.81090033
42526,1,0.8423302
42527,0,0.29403487
42528,1,0.5206482
42529,0,0.22596854
42530,1,0.61712474
